subject,hand,digit,hemisphere,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
47,left,D1,left,6788,-5.532,-0.5949,-0.118,-0.1455,0.4209,3.756,0.4911,141,99,123,-51,-27,51
47,left,D1,right,6715,-2.516,-0.2149,0.3513,0.2583,1.014,3.82,0.5509,35,113,121,55,-13,49
47,left,D2,left,6788,-9.031,-0.7186,-0.1001,-0.1366,0.644,4.148,0.6926,135,105,139,-45,-21,67
47,left,D2,right,6715,-1.764,-0.1055,0.5905,0.5341,1.358,5.863,0.6468,46,100,128,44,-26,56
47,left,D3,left,6788,-2.195,-0.4397,0.05805,-0.05106,0.7399,3.829,0.5231,141,99,123,-51,-27,51
47,left,D3,right,6715,-0.8386,-0.1428,0.5862,0.4391,1.476,7.327,0.7139,41,112,134,49,-14,62
47,left,D4,left,6788,-7.69,-0.6831,-0.1343,-0.1551,0.5385,2.688,0.5851,135,105,139,-45,-21,67
47,left,D4,right,6715,-2.522,-0.4304,0.3959,0.2949,1.347,5.853,0.7321,46,100,128,44,-26,56
47,left,D5,left,6788,-7.748,-0.7442,-0.2183,-0.1807,0.3265,1.785,0.5541,137,100,119,-47,-26,47
47,left,D5,right,6715,-1.676,-0.5265,0.09785,0.08386,0.7386,3.232,0.5216,46,100,128,44,-26,56
47,right,D1,left,6788,-2.212,-0.3315,0.3779,0.3358,1.05,4.907,0.633,133,105,140,-43,-21,68
47,right,D1,right,6715,-3.086,-0.4968,-0.03037,-0.009289,0.4176,2.158,0.391,48,104,142,42,-22,70
47,right,D2,left,6788,-2.671,-0.4574,0.1868,0.1286,0.827,5.31,0.6015,133,105,140,-43,-21,68
47,right,D2,right,6715,-4.384,-0.9112,-0.378,-0.3178,0.09759,0.8262,0.4487,47,101,125,43,-25,53
47,right,D3,left,6788,-2.657,-0.2175,0.4398,0.3658,1.152,7.14,0.6376,132,106,139,-42,-20,67
47,right,D3,right,6715,-1.653,-0.5426,-0.1268,-0.1211,0.2871,1.45,0.3452,41,106,137,49,-20,65
47,right,D4,left,6788,-3.523,-0.5045,0.1086,0.06933,0.7478,6.18,0.586,133,106,139,-43,-20,67
47,right,D4,right,6715,-7.309,-1.263,-0.6149,-0.5527,-0.0054,0.8503,0.5823,34,109,112,56,-17,40
47,right,D5,left,6788,-0.8455,-0.0624,0.5202,0.4056,1.193,6.034,0.6088,132,106,139,-42,-20,67
47,right,D5,right,6715,-2.176,-0.4871,-0.09371,-0.09249,0.3015,1.227,0.3274,47,100,125,43,-26,53
