subject,hand,digit,hemisphere,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
51,left,D1,left,7727,-1.315,-0.2095,0.09426,0.08486,0.3982,2.981,0.2724,126,106,141,-36,-20,69
51,left,D1,right,6548,-1.535,-0.1874,0.2313,0.1725,0.7244,3.288,0.4163,43,98,132,47,-28,60
51,left,D2,left,7727,-2.179,-0.5341,-0.236,-0.2292,0.05934,0.564,0.2475,132,95,125,-42,-31,53
51,left,D2,right,6548,-2.428,-0.6196,-0.1787,-0.177,0.2558,1.693,0.3805,37,112,127,53,-14,55
51,left,D3,left,7727,-0.5454,-0.03915,0.2893,0.2638,0.6349,3.259,0.2865,136,112,135,-46,-14,63
51,left,D3,right,6548,-1.416,-0.1375,0.3091,0.2271,0.8276,4.416,0.4559,41,100,131,49,-26,59
51,left,D4,left,7727,-1.963,-0.4805,-0.1689,-0.1577,0.125,0.7672,0.2501,135,114,132,-45,-12,60
51,left,D4,right,6548,-2.077,-0.683,-0.1506,-0.1598,0.378,3.473,0.4823,40,101,130,50,-25,58
51,left,D5,left,7727,-1.292,-0.2939,-0.008373,-0.01217,0.272,1.976,0.2397,125,105,143,-35,-21,71
51,left,D5,right,6548,-1.525,-0.365,0.04546,-0.02693,0.4632,5.297,0.4601,42,99,132,48,-27,60
51,right,D1,left,7727,-1.584,-0.08124,0.3764,0.2651,0.9214,5.897,0.5264,124,103,143,-34,-23,71
51,right,D1,right,6548,-1.395,-0.3435,-0.01905,-0.02947,0.305,2.601,0.2784,45,105,134,45,-21,62
51,right,D2,left,7727,-1.267,-0.2781,0.1087,0.05805,0.5319,3.055,0.3823,140,102,126,-50,-24,54
51,right,D2,right,6548,-1.305,-0.3121,-0.04921,-0.04415,0.2148,0.7652,0.2167,45,111,115,45,-15,43
51,right,D3,left,7727,-1.194,-0.184,0.2038,0.1157,0.6598,3.898,0.4238,139,102,126,-49,-24,54
51,right,D3,right,6548,-0.8142,-0.2116,0.06207,0.05421,0.345,1.23,0.2254,45,105,134,45,-21,62
51,right,D4,left,7727,-1.048,-0.202,0.3212,0.2054,0.9493,5.876,0.5584,134,110,136,-44,-16,64
51,right,D4,right,6548,-1.268,-0.2677,0.01931,0.006146,0.316,1.541,0.2447,44,98,121,46,-28,49
51,right,D5,left,7727,-1.095,-0.2182,0.2096,0.134,0.7092,4.166,0.442,139,102,126,-49,-24,54
51,right,D5,right,6548,-1.893,-0.5585,-0.2054,-0.1758,0.1152,0.7842,0.2818,41,107,114,49,-19,42
