subject,hand,digit,hemisphere,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
41,left,D1,left,6663,-1.405,-0.2884,0.1027,0.03676,0.4836,5.966,0.4462,131,99,144,-41,-27,72
41,left,D1,right,9102,-2.676,-0.2035,0.4828,0.3534,1.348,5.841,0.7236,43,113,115,47,-13,43
41,left,D2,left,6663,-2.519,-0.4884,-0.06672,-0.114,0.391,2.912,0.4501,132,92,128,-42,-34,56
41,left,D2,right,9102,-1.106,-0.2325,0.5055,0.3325,1.48,5.985,0.7389,43,120,126,47,-6,54
41,left,D3,left,6663,-1.38,-0.2938,0.201,0.1038,0.6911,8.227,0.5995,130,100,145,-40,-26,73
41,left,D3,right,9102,-0.9834,-0.09811,0.6538,0.4894,1.608,10.55,0.7702,40,120,130,50,-6,58
41,left,D4,left,6663,-3.401,-0.4589,-0.02637,-0.08136,0.4482,2.818,0.4271,132,92,128,-42,-34,56
41,left,D4,right,9102,-1.232,-0.2284,0.4986,0.3022,1.455,10.99,0.8048,40,120,130,50,-6,58
41,left,D5,left,6663,-2.498,-0.7717,-0.2509,-0.2777,0.3136,3.241,0.4683,124,104,145,-34,-22,73
41,left,D5,right,9102,-1.766,-0.3513,0.297,0.1984,1.11,4.601,0.6331,48,114,140,42,-12,68
41,right,D1,left,6663,-1.952,-0.2108,0.4668,0.2899,1.24,10.46,0.8422,131,99,144,-41,-27,72
41,right,D1,right,9102,-2.318,-0.4728,-0.03199,-0.06057,0.4496,2.002,0.3841,44,92,130,46,-34,58
41,right,D2,left,6663,-2.544,-0.2672,0.3766,0.2375,1.173,6.563,0.6968,149,99,125,-59,-27,53
41,right,D2,right,9102,-4.646,-0.6137,-0.1827,-0.1628,0.2865,1.548,0.4378,44,92,131,46,-34,59
41,right,D3,left,6663,-2.584,-0.3166,0.4457,0.2008,1.429,10.1,0.9691,131,99,144,-41,-27,72
41,right,D3,right,9102,-2.971,-0.5741,-0.1706,-0.1743,0.253,1.958,0.3846,44,92,129,46,-34,57
41,right,D4,left,6663,-3.652,-0.4075,0.37,0.1167,1.353,9.991,0.9711,132,105,144,-42,-21,72
41,right,D4,right,9102,-3.611,-0.6518,-0.1844,-0.1941,0.3084,2.597,0.4466,44,92,131,46,-34,59
41,right,D5,left,6663,-3.526,-0.1038,0.5061,0.2936,1.291,8.111,0.8068,132,105,144,-42,-21,72
41,right,D5,right,9102,-2.314,-0.3036,0.005943,-0.008979,0.3359,1.591,0.298,43,92,131,47,-34,59
