subject,hand,digit,median_threshold
11,left,D1,70
11,left,D2,70
11,left,D3,70
11,left,D4,70
11,left,D5,65
11,right,D1,75
11,right,D2,65
11,right,D3,65
11,right,D4,60
11,right,D5,65
