subject,hand,digit,hemisphere,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
52,left,D1,left,6586,-2.123,-0.4969,-0.01593,-0.04635,0.5341,2.496,0.4631,147,107,109,-57,-19,37
52,left,D1,right,7896,-3.656,-0.2429,0.528,0.3876,1.341,9.004,0.8871,37,107,121,53,-19,49
52,left,D2,left,6586,-3.013,-0.5325,-0.06359,-0.1067,0.5048,2.073,0.484,146,107,108,-56,-19,36
52,left,D2,right,7896,-1.647,-0.2884,0.5688,0.4319,1.48,9.522,0.8888,39,105,121,51,-21,49
52,left,D3,left,6586,-2.241,-0.5211,-0.05427,-0.1196,0.5575,2.488,0.4744,143,105,111,-53,-21,39
52,left,D3,right,7896,-1.561,-0.1946,0.7383,0.5377,1.821,10.5,0.9741,39,105,121,51,-21,49
52,left,D4,left,6586,-2.288,-0.3795,0.06234,-0.005937,0.6044,3.854,0.4497,126,108,142,-36,-18,70
52,left,D4,right,7896,-1.324,-0.158,0.7594,0.5854,1.797,8.696,0.9112,39,105,121,51,-21,49
52,left,D5,left,6586,-2.287,-0.5124,-0.06638,-0.1085,0.4381,2.907,0.443,126,108,142,-36,-18,70
52,left,D5,right,7896,-1.543,-0.2811,0.4399,0.3088,1.225,7.7,0.7461,39,105,121,51,-21,49
52,right,D1,left,6586,-1.965,-0.2077,0.5361,0.4334,1.38,5.032,0.6942,142,110,132,-52,-16,60
52,right,D1,right,7896,-2.586,-0.4019,0.05027,0.02265,0.506,3.843,0.449,38,115,129,52,-11,57
52,right,D2,left,6586,-1.351,-0.1562,0.6823,0.4649,1.735,11.71,0.9416,134,108,137,-44,-18,65
52,right,D2,right,7896,-3.11,-0.4708,-0.04217,-0.07104,0.3687,3.965,0.4165,38,115,129,52,-11,57
52,right,D3,left,6586,-3.139,-0.4301,0.4279,0.2291,1.498,9.468,0.9259,134,108,137,-44,-18,65
52,right,D3,right,7896,-2.821,-0.5571,-0.1449,-0.1613,0.2714,3.593,0.4077,40,103,122,50,-23,50
52,right,D4,left,6586,-1.57,-0.2426,0.4113,0.2703,1.238,7.474,0.7176,137,107,136,-47,-19,64
52,right,D4,right,7896,-1.826,-0.4508,-0.07989,-0.09055,0.2797,2.917,0.3574,40,104,121,50,-22,49
52,right,D5,left,6586,-1.113,-0.2406,0.5245,0.3319,1.504,6.619,0.8012,137,107,136,-47,-19,64
52,right,D5,right,7896,-1.557,-0.3874,-0.0416,-0.06814,0.3037,3.425,0.3376,39,105,121,51,-21,49
