subject,hand,digit,hemisphere,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
55,left,D1,left,9951,-4.912,-0.5999,-0.1413,-0.1065,0.2961,3.517,0.4485,152,97,112,-62,-29,40
55,left,D1,right,8537,-3.264,-0.3746,0.2266,0.1164,0.8431,7.792,0.772,31,98,122,59,-28,50
55,left,D2,left,9951,-4.507,-0.4697,-0.06929,-0.08822,0.409,3.177,0.4332,152,97,112,-62,-29,40
55,left,D2,right,8537,-2.244,-0.4881,0.2731,0.07218,1.087,11.14,0.961,35,90,126,55,-36,54
55,left,D3,left,9951,-3.273,-0.3252,0.02508,0.006337,0.4237,2.499,0.345,152,97,112,-62,-29,40
55,left,D3,right,8537,-2.182,-0.2226,0.3952,0.2241,1.127,8.616,0.7742,35,90,126,55,-36,54
55,left,D4,left,9951,-2.721,-0.2374,0.09384,0.06171,0.4734,4.903,0.3418,150,112,122,-60,-14,50
55,left,D4,right,8537,-4.014,-0.5069,0.1213,0.02892,0.8297,7.23,0.7206,35,90,126,55,-36,54
55,left,D5,left,9951,-4.413,-0.6231,-0.2525,-0.2271,0.1334,1.23,0.3724,152,97,112,-62,-29,40
55,left,D5,right,8537,-4.623,-0.6017,-0.04273,-0.08602,0.5369,5.91,0.63,35,90,126,55,-36,54
55,right,D1,left,9951,-1.086,-0.1514,0.4621,0.2849,1.139,12.69,0.8343,148,109,124,-58,-17,52
55,right,D1,right,8537,-4.23,-0.4389,0.06337,0.02,0.5896,4.427,0.5532,32,98,119,58,-28,47
55,right,D2,left,9951,-5.072,-0.3457,0.198,0.1058,0.815,7.176,0.6453,150,112,122,-60,-14,50
55,right,D2,right,8537,-4.239,-0.5232,-0.1689,-0.115,0.1912,0.9222,0.4052,35,116,112,55,-10,40
55,right,D3,left,9951,-2.021,-0.3694,0.2501,0.1291,0.9545,6.37,0.6757,145,100,127,-55,-26,55
55,right,D3,right,8537,-5.374,-0.603,-0.1798,-0.156,0.2634,2.393,0.4617,35,90,126,55,-36,54
55,right,D4,left,9951,-1.295,-0.1804,0.3632,0.2199,0.9973,8.047,0.6697,130,93,139,-40,-33,67
55,right,D4,right,8537,-1.518,-0.1249,0.1996,0.1541,0.5241,3.46,0.342,35,90,126,55,-36,54
55,right,D5,left,9951,-4.581,-0.5513,0.1435,0.03226,1.007,6.223,0.7365,130,93,139,-40,-33,67
55,right,D5,right,8537,-9.839,-0.967,-0.3911,-0.2564,0.168,1.424,0.747,32,102,116,58,-24,44
