subject,hand,digit,median_threshold
13,left,D1,75
13,left,D2,65
13,left,D3,45
13,left,D4,70
13,left,D5,65
13,right,D1,70
13,right,D2,70
13,right,D3,65
13,right,D4,70
13,right,D5,55
