subject,hand,digit,hemisphere,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
31,left,D1,left,7387,-6.52,-0.3208,0.04658,0.01937,0.433,3.231,0.3765,133,105,132,-43,-21,60
31,left,D1,right,7749,-1.689,-0.2015,0.3109,0.1975,0.9262,30.29,0.6579,36,119,131,54,-7,59
31,left,D2,left,7387,-5.919,-0.3914,-0.0324,-0.01075,0.3618,2.329,0.4289,133,105,132,-43,-21,60
31,left,D2,right,7749,-1.427,-0.122,0.53,0.3452,1.253,71.93,1.15,36,119,131,54,-7,59
31,left,D3,left,7387,-1.474,-0.2067,0.1318,0.08313,0.4718,9.478,0.3843,141,114,132,-51,-12,60
31,left,D3,right,7749,-0.8681,-0.1131,0.4191,0.2697,1.077,6.743,0.6376,43,101,138,47,-25,66
31,left,D4,left,7387,-2.253,-0.3978,-0.03488,-0.04286,0.3262,3.007,0.3098,141,114,132,-51,-12,60
31,left,D4,right,7749,-61.24,-0.1947,0.327,0.1876,0.9891,6.8,0.9516,41,100,136,49,-26,64
31,left,D5,left,7387,-2.768,-0.3314,0.0902,0.05266,0.5165,4.387,0.4263,133,105,132,-43,-21,60
31,left,D5,right,7749,-1.073,-0.1288,0.6924,0.4372,1.655,120.8,1.688,36,119,131,54,-7,59
31,right,D1,left,7387,-1.129,-0.1297,0.4581,0.3035,1.234,19.37,0.7051,145,113,129,-55,-13,57
31,right,D1,right,7749,-8.198,-0.3811,0.02794,-0.005181,0.4496,7.32,0.4467,44,101,140,46,-25,68
31,right,D2,left,7387,-4.88,-0.09639,0.434,0.3208,1.056,19.4,0.6331,145,113,129,-55,-13,57
31,right,D2,right,7749,-28.8,-0.4564,-0.1016,-0.08368,0.2675,20.74,0.6236,41,118,135,49,-8,63
31,right,D3,left,7387,-11.53,-0.1031,0.4746,0.3015,1.174,11.82,0.7717,145,113,129,-55,-13,57
31,right,D3,right,7749,-27.21,-0.3326,-0.02087,-0.02616,0.2914,4.339,0.4335,36,118,131,54,-8,59
31,right,D4,left,7387,-3.864,-0.09016,0.4422,0.3185,1.034,9.322,0.6184,132,104,141,-42,-22,69
31,right,D4,right,7749,-22.32,-0.4158,-0.06208,-0.04935,0.3102,11.57,0.5146,41,118,135,49,-8,63
31,right,D5,left,7387,-4.204,-0.1382,0.4604,0.3293,1.115,11.03,0.6903,132,104,141,-42,-22,69
31,right,D5,right,7749,-32.65,-0.4262,-0.0644,-0.07103,0.3465,21.95,0.7045,41,118,135,49,-8,63
