subject,hand,digit,median_threshold
17,left,D1,75
17,left,D2,75
17,left,D3,75
17,left,D4,70
17,left,D5,70
17,right,D1,70
17,right,D2,70
17,right,D3,75
17,right,D4,75
17,right,D5,70
