subject,hand,digit,median_threshold
27,left,D1,125
27,left,D2,120
27,left,D3,115
27,left,D4,105
27,left,D5,105
27,right,D1,125
27,right,D2,115
27,right,D3,110
27,right,D4,105
27,right,D5,120
