subject,hand,digit,hemisphere,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
26,left,D1,left,8018,-2.825,-0.2525,0.0827,0.04922,0.4341,4.936,0.3715,138,84,128,-48,-42,56
26,left,D1,right,9526,-3.548,-0.08107,0.3983,0.2609,1.03,6.613,0.5818,58,106,147,32,-20,75
26,left,D2,left,8018,-2.911,-0.3162,0.1093,0.03766,0.5568,9.205,0.5293,140,84,126,-50,-42,54
26,left,D2,right,9526,-3.189,-0.1006,0.5349,0.3607,1.321,9.036,0.7775,47,95,135,43,-31,63
26,left,D3,left,8018,-2.072,-0.3783,0.0243,-0.01287,0.4224,6.71,0.4481,140,84,125,-50,-42,53
26,left,D3,right,9526,-1.218,-0.206,0.2486,0.134,0.798,5.459,0.5313,38,112,128,52,-14,56
26,left,D4,left,8018,-9.468,-0.6441,-0.1149,-0.1248,0.4283,9.084,0.5824,140,84,126,-50,-42,54
26,left,D4,right,9526,-6.339,-0.2766,0.2864,0.1973,0.9681,7.455,0.6135,47,95,135,43,-31,63
26,left,D5,left,8018,-2.954,-0.4182,0.02322,-0.02644,0.5109,7.946,0.4645,140,84,126,-50,-42,54
26,left,D5,right,9526,-3.936,-0.2711,0.2823,0.1751,0.9275,7.322,0.602,59,106,147,31,-20,75
26,right,D1,left,8014,-17.48,-0.02493,0.8727,0.4911,2.151,25.94,1.386,136,108,134,-46,-18,62
26,right,D1,right,9526,-4.342,-0.2305,0.1244,0.08782,0.4721,4.685,0.3658,48,108,139,42,-18,67
26,right,D2,left,8014,-11.65,0.04534,1.404,0.8816,3.368,56.0,1.888,125,105,145,-35,-21,73
26,right,D2,right,9526,-8.218,-0.4925,0.03431,-0.01693,0.6635,5.705,0.6335,51,110,142,39,-16,70
26,right,D3,left,8014,-10.17,-0.07073,0.342,0.2651,0.8797,8.963,0.4994,135,108,134,-45,-18,62
26,right,D3,right,9526,-2.121,-0.1679,0.1553,0.1154,0.5051,4.385,0.3353,58,107,147,32,-19,75
26,right,D4,left,8014,-15.45,0.04609,1.669,1.1,3.83,71.22,2.288,125,105,145,-35,-21,73
26,right,D4,right,9526,-7.363,-0.4899,0.07439,-0.02569,0.7846,6.323,0.6736,54,108,144,36,-18,72
26,right,D5,left,8014,-2.023,-0.2019,0.6993,0.4735,1.833,30.68,1.064,125,105,145,-35,-21,73
26,right,D5,right,9526,-5.46,-0.587,-0.157,-0.1312,0.2668,2.61,0.4308,58,107,147,32,-19,75
