subject,hand,digit,median_threshold
18,left,D1,85
18,left,D2,85
18,left,D3,95
18,left,D4,80
18,left,D5,95
18,right,D1,110
18,right,D2,95
18,right,D3,90
18,right,D4,100
18,right,D5,95
