subject,hand,digit,hemisphere,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
24,left,D1,left,7814,-9.148,-0.5408,0.1458,-0.05036,0.9774,9.972,0.8908,148,102,123,-58,-24,51
24,left,D1,right,8133,-20.21,-0.1929,0.6154,0.3708,1.718,11.41,1.105,31,117,123,59,-9,51
24,left,D2,left,7814,-29.75,-0.4611,0.1463,-0.002381,0.855,9.129,0.8342,148,102,123,-58,-24,51
24,left,D2,right,8133,-5.995,-0.1937,0.7029,0.5042,1.832,11.21,1.065,37,106,133,53,-20,61
24,left,D3,left,7814,-20.14,-0.4107,0.2043,0.05605,0.9272,8.467,0.8039,127,91,141,-37,-35,69
24,left,D3,right,8133,-15.98,-0.3015,0.815,0.5286,2.402,11.6,1.274,44,112,136,46,-14,64
24,left,D4,left,7814,-3.274,-0.3332,0.1973,0.07663,0.8365,6.265,0.6353,129,91,140,-39,-35,68
24,left,D4,right,8133,-7.833,-0.1274,0.834,0.5471,2.229,10.12,1.136,44,112,136,46,-14,64
24,left,D5,left,7814,-13.1,-0.555,0.03148,-0.09556,0.7463,6.772,0.7039,148,102,123,-58,-24,51
24,left,D5,right,8133,-31.17,-0.3632,0.5741,0.3953,1.961,9.886,1.258,44,112,136,46,-14,64
24,right,D1,left,7814,-6.437,-0.09396,0.7925,0.5258,1.993,12.72,1.261,140,96,130,-50,-30,58
24,right,D1,right,8133,-8.686,-0.5802,0.07333,-0.03441,0.8861,5.496,0.808,32,106,116,58,-20,44
24,right,D2,left,7814,-1.586,-0.1565,0.4764,0.278,1.205,9.333,0.8432,131,91,138,-41,-35,66
24,right,D2,right,8133,-6.418,-0.4968,-0.07533,-0.07459,0.3966,2.464,0.4592,33,107,115,57,-19,43
24,right,D3,left,7814,-2.515,-0.1453,0.5062,0.318,1.243,10.41,0.864,135,92,135,-45,-34,63
24,right,D3,right,8133,-12.79,-0.4856,-0.07176,-0.0195,0.4308,2.177,0.6522,32,106,116,58,-20,44
24,right,D4,left,7814,-1.665,-0.2888,0.28,0.1773,0.9363,6.389,0.6041,132,91,137,-42,-35,65
24,right,D4,right,8133,-1.606,-0.4119,-0.07379,-0.08179,0.2618,4.499,0.3025,38,113,130,52,-13,58
24,right,D5,left,7814,-5.871,-0.1242,0.6914,0.4421,1.598,12.11,1.058,135,92,135,-45,-34,63
24,right,D5,right,8133,-10.18,-0.4053,0.04756,0.01175,0.6326,3.932,0.609,36,94,129,54,-32,57
