subject,hand,digit,hemisphere,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
36,left,D1,left,7330,-2.008,-0.5397,-0.2089,-0.2056,0.126,1.973,0.3204,143,102,119,-53,-24,47
36,left,D1,right,6425,-1.462,-0.3805,0.0912,0.01637,0.6486,2.851,0.4612,35,99,134,55,-27,62
36,left,D2,left,7330,-1.704,-0.3579,-0.05723,-0.06001,0.2256,2.125,0.2707,142,102,119,-52,-24,47
36,left,D2,right,6425,-0.9274,-0.2092,0.213,0.144,0.7355,2.617,0.4189,39,105,135,51,-21,63
36,left,D3,left,7330,-1.077,-0.3282,-0.04456,-0.06353,0.2658,1.55,0.2524,148,103,123,-58,-23,51
36,left,D3,right,6425,-1.005,-0.338,0.1968,0.1232,0.7761,4.508,0.5064,51,96,144,39,-30,72
36,left,D4,left,7330,-1.264,-0.3445,-0.07022,-0.0718,0.1878,2.62,0.2574,143,102,119,-53,-24,47
36,left,D4,right,6425,-0.7646,-0.2602,0.2485,0.1337,0.8746,7.667,0.5345,51,96,144,39,-30,72
36,left,D5,left,7330,-1.474,-0.3164,-0.01182,-0.02921,0.288,2.578,0.283,143,102,119,-53,-24,47
36,left,D5,right,6425,-1.036,-0.2051,0.33,0.1822,1.05,10.64,0.6422,51,96,144,39,-30,72
36,right,D1,left,7330,-0.7881,0.02306,0.6394,0.5056,1.309,11.43,0.7149,146,94,127,-56,-32,55
36,right,D1,right,6425,-1.029,-0.1656,0.1869,0.148,0.5537,3.556,0.33,51,96,144,39,-30,72
36,right,D2,left,7330,-0.9338,-0.1427,0.4142,0.3246,1.006,5.682,0.5665,148,103,123,-58,-23,51
36,right,D2,right,6425,-1.228,-0.3372,0.002926,-0.01651,0.3523,1.997,0.2979,52,100,144,38,-26,72
36,right,D3,left,7330,-0.6371,-0.1706,0.3711,0.2372,1.011,6.288,0.5922,133,96,142,-43,-30,70
36,right,D3,right,6425,-0.7906,-0.3398,-0.01605,-0.06444,0.3703,1.458,0.3049,33,115,125,57,-11,53
36,right,D4,left,7330,-1.158,-0.2104,0.477,0.327,1.295,6.051,0.7084,131,98,142,-41,-28,70
36,right,D4,right,6425,-1.166,-0.3659,0.04441,-0.00434,0.4989,2.6,0.3869,51,96,144,39,-30,72
36,right,D5,left,7330,-1.226,-0.2064,0.2865,0.1603,0.8626,5.363,0.5511,131,98,142,-41,-28,70
36,right,D5,right,6425,-1.0,-0.2991,-0.01145,-0.02987,0.2699,1.64,0.2626,35,104,118,55,-22,46
