subject,hand,digit,median_threshold
29,left,D1,120
29,left,D2,110
29,left,D3,115
29,left,D4,115
29,left,D5,115
29,right,D1,115
29,right,D2,110
29,right,D3,115
29,right,D4,115
29,right,D5,110
