subject,hand,digit,median_threshold
33,left,D1,160
33,left,D2,220
33,left,D3,210
33,left,D4,115
33,left,D5,130
33,right,D1,95
33,right,D2,140
33,right,D3,120
33,right,D4,105
33,right,D5,110
