subject,hand,digit,median_threshold
23,left,D1,115
23,left,D2,120
23,left,D3,115
23,left,D4,115
23,left,D5,120
23,right,D1,110
23,right,D2,110
23,right,D3,115
23,right,D4,120
23,right,D5,115
