subject,hand,digit,median_threshold
31,left,D1,180
31,left,D2,150
31,left,D3,140
31,left,D4,105
31,left,D5,150
31,right,D1,125
31,right,D2,160
31,right,D3,155
31,right,D4,125
31,right,D5,180
