subject,hand,digit,hemisphere,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
21,left,D1,left,7642,-1.778,-0.3678,0.00147,-0.06058,0.504,2.773,0.3792,133,102,140,-43,-24,68
21,left,D1,right,7247,-1.132,-0.04396,0.626,0.4908,1.463,4.57,0.6764,42,107,136,48,-19,64
21,left,D2,left,7642,-3.483,-0.7488,-0.2479,-0.3159,0.4153,3.181,0.5514,138,99,137,-48,-27,65
21,left,D2,right,7247,-2.787,-0.3615,0.4042,0.3152,1.297,4.274,0.7438,48,91,142,42,-35,70
21,left,D3,left,7642,-3.347,-0.6501,-0.1268,-0.2212,0.5477,4.753,0.5766,133,102,140,-43,-24,68
21,left,D3,right,7247,-0.8958,-0.09392,0.6994,0.529,1.699,5.405,0.8279,32,107,120,58,-19,48
21,left,D4,left,7642,-2.23,-0.3691,0.02867,-0.03738,0.4998,3.661,0.4106,133,102,140,-43,-24,68
21,left,D4,right,7247,-1.316,0.008087,0.7446,0.5482,1.75,5.972,0.8153,48,91,142,42,-35,70
21,left,D5,left,7642,-1.795,-0.3977,-0.04151,-0.09716,0.3972,2.128,0.3531,138,99,137,-48,-27,65
21,left,D5,right,7247,-0.7307,-0.1172,0.5226,0.3521,1.363,4.954,0.7173,51,90,143,39,-36,71
21,right,D1,left,7642,-7.145,-0.1504,0.316,0.2102,0.901,7.534,0.5766,135,99,138,-45,-27,66
21,right,D1,right,7247,-0.9702,-0.2003,0.1184,0.1065,0.4363,2.77,0.278,34,104,125,56,-22,53
21,right,D2,left,7642,-5.479,-0.2288,0.3453,0.2286,0.9943,8.46,0.6767,131,100,142,-41,-26,70
21,right,D2,right,7247,-2.295,-0.5233,-0.1539,-0.1373,0.1736,1.433,0.3105,34,106,120,56,-20,48
21,right,D3,left,7642,-7.839,-0.04181,0.6476,0.4082,1.376,17.78,1.034,131,100,142,-41,-26,70
21,right,D3,right,7247,-1.391,-0.2746,0.1261,0.08687,0.5186,4.933,0.4046,34,104,125,56,-22,53
21,right,D4,left,7642,-6.97,-0.2041,0.3639,0.2194,0.9739,14.73,0.7583,131,100,142,-41,-26,70
21,right,D4,right,7247,-2.303,-0.59,-0.1405,-0.1383,0.2967,2.618,0.3836,32,107,120,58,-19,48
21,right,D5,left,7642,-6.165,-0.1621,0.4179,0.2545,1.078,13.85,0.7796,131,100,142,-41,-26,70
21,right,D5,right,7247,-0.8838,-0.2703,0.0493,0.04054,0.3728,2.349,0.2724,32,108,119,58,-18,47
