subject,hand,digit,hemisphere,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
17,left,D1,left,6836,-1.516,-0.4035,-0.1374,-0.142,0.1366,1.382,0.2312,151,99,120,-61,-27,48
17,left,D1,right,7729,-2.083,-0.2755,0.1054,0.03544,0.536,4.002,0.4291,32,110,125,58,-16,53
17,left,D2,left,6836,-1.439,-0.4476,-0.177,-0.1659,0.08076,1.172,0.2242,141,104,131,-51,-22,59
17,left,D2,right,7729,-1.797,-0.2493,0.1429,0.1035,0.5663,2.546,0.3735,31,112,115,59,-14,43
17,left,D3,left,6836,-0.8929,-0.2733,-0.02195,-0.03046,0.2223,1.591,0.2104,141,103,131,-51,-23,59
17,left,D3,right,7729,-3.249,-0.1937,0.1858,0.1234,0.6465,2.796,0.4002,42,94,133,48,-32,61
17,left,D4,left,6836,-1.502,-0.4532,-0.1686,-0.157,0.1094,0.6127,0.2366,147,106,113,-57,-20,41
17,left,D4,right,7729,-2.626,-0.3467,0.04637,0.004635,0.4525,2.575,0.3822,42,94,133,48,-32,61
17,left,D5,left,6836,-1.157,-0.4296,-0.1606,-0.1459,0.0896,0.676,0.2174,145,106,112,-55,-20,40
17,left,D5,right,7729,-2.527,-0.2986,0.1265,0.08335,0.5756,2.707,0.3966,41,95,132,49,-31,60
17,right,D1,left,6836,-0.8863,-0.2944,0.04464,-0.002603,0.4049,5.123,0.3595,151,99,120,-61,-27,48
17,right,D1,right,7729,-1.774,-0.304,-0.04612,-0.05324,0.2096,1.725,0.2374,32,107,116,58,-19,44
17,right,D2,left,6836,-1.885,-0.3737,0.04771,9.2e-05,0.5177,3.461,0.3826,151,99,120,-61,-27,48
17,right,D2,right,7729,-1.219,-0.4322,-0.1029,-0.1046,0.2058,1.716,0.278,32,107,116,58,-19,44
17,right,D3,left,6836,-1.16,-0.3245,0.05171,0.002145,0.474,2.866,0.351,141,105,130,-51,-21,58
17,right,D3,right,7729,-1.233,-0.3825,-0.09543,-0.09929,0.1838,1.738,0.2508,31,109,117,59,-17,45
17,right,D4,left,6836,-0.9617,-0.3104,0.08881,0.05226,0.5036,2.694,0.3576,133,90,121,-43,-36,49
17,right,D4,right,7729,-1.897,-0.3598,-0.043,-0.03906,0.2577,1.936,0.2673,32,107,116,58,-19,44
17,right,D5,left,6836,-1.785,-0.3841,0.08928,0.06445,0.5787,2.643,0.4081,151,100,121,-61,-26,49
17,right,D5,right,7729,-1.62,-0.4933,-0.1333,-0.1193,0.184,1.647,0.2962,32,110,115,58,-16,43
