subject,hand,digit,hemisphere,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
9,left,D1,left,8141,-2.397,-0.6798,-0.245,-0.2095,0.1208,0.9326,0.3241,147,107,128,-57,-19,56
9,left,D1,right,8344,-4.285,-0.6351,0.04559,-0.02611,0.7634,4.28,0.6406,35,111,123,55,-15,51
9,left,D2,left,8141,-2.641,-0.4855,-0.1378,-0.1332,0.21,1.911,0.3239,149,103,120,-59,-23,48
9,left,D2,right,8344,-3.572,-0.343,0.1244,0.0553,0.6791,3.965,0.446,43,92,136,47,-34,64
9,left,D3,left,8141,-3.262,-0.5512,-0.1915,-0.1773,0.1692,1.67,0.3363,147,104,116,-57,-22,44
9,left,D3,right,8344,-1.67,-0.3669,0.1622,0.1085,0.7284,4.411,0.4833,46,101,141,44,-25,69
9,left,D4,left,8141,-2.549,-0.6936,-0.1922,-0.1677,0.2645,2.026,0.4045,126,113,141,-36,-13,69
9,left,D4,right,8344,-1.335,-0.2954,0.2273,0.1493,0.8298,4.409,0.4965,42,101,124,48,-25,52
9,left,D5,left,8141,-3.908,-0.5843,-0.1495,-0.1039,0.2363,1.559,0.3743,149,103,120,-59,-23,48
9,left,D5,right,8344,-2.194,-0.4019,0.1707,0.1315,0.7974,3.689,0.5069,29,110,123,61,-16,51
9,right,D1,left,8141,-1.136,-0.1942,0.2196,0.1365,0.6887,7.581,0.4835,147,106,129,-57,-20,57
9,right,D1,right,8344,-1.224,-0.2061,0.09393,0.0561,0.4204,2.618,0.2846,44,92,137,46,-34,65
9,right,D2,left,8141,-0.8604,-0.1928,0.2174,0.136,0.6928,6.384,0.4597,147,106,129,-57,-20,57
9,right,D2,right,8344,-4.265,-0.3473,-0.03664,-0.04381,0.3059,1.444,0.2944,43,101,123,47,-25,51
9,right,D3,left,8141,-1.436,-0.3457,0.1059,0.05182,0.5934,3.515,0.4293,142,109,132,-52,-17,60
9,right,D3,right,8344,-2.693,-0.3548,-0.04078,-0.03645,0.2844,2.554,0.3047,41,93,134,49,-33,62
9,right,D4,left,8141,-1.316,-0.3303,0.183,0.1256,0.7623,2.686,0.4561,126,113,141,-36,-13,69
9,right,D4,right,8344,-5.882,-0.55,-0.09887,-0.0571,0.3162,2.212,0.411,29,117,119,61,-9,47
9,right,D5,left,8141,-1.234,-0.3684,0.238,0.1676,0.9016,4.226,0.5512,140,106,136,-50,-20,64
9,right,D5,right,8344,-4.211,-0.7137,-0.2165,-0.165,0.2299,1.624,0.4541,41,93,134,49,-33,62
