subject,hand,digit,median_threshold
21,left,D1,160
21,left,D2,170
21,left,D3,170
21,left,D4,130
21,left,D5,115
21,right,D1,135
21,right,D2,125
21,right,D3,120
21,right,D4,115
21,right,D5,110
